 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020 
 Online, b = 1% N
-------------------------------------- 
 Iter        f              ||g||     dif_f      alpha     s*y 
   0     1.952873414e+00   1.993e-01          
 Warning, small sTy < eps   4.48e-20 
   1   1.952873414e+00   1.993e-01   4.18e-10   9.97e-01  4.481e-20  
   2   7.344252201e-01   1.993e-01   1.22e+00   9.07e-01  5.191e+00  
   3   5.690483554e-01   1.964e-01   1.65e-01   8.31e-01  1.134e+00  
   4   4.747098072e-01   1.671e-01   9.43e-02   7.67e-01  3.068e-01  
   5   3.212167158e-01   1.116e-01   1.53e-01   7.12e-01  1.467e-02  
   6   4.119060532e-01   7.981e-02   9.07e-02   6.65e-01  5.918e-02  
   7   4.068332119e-01   8.647e-02   5.07e-03   6.23e-01  1.467e+00  
   8   3.071600152e-01   2.783e-01   9.97e-02   5.87e-01  2.989e-02  
   9   5.643742740e-01   8.071e-02   2.57e-01   5.54e-01  6.725e-02  
  10   3.109329384e-01   6.964e-02   2.53e-01   5.25e-01  3.237e-02  
  11   4.626236568e-01   2.205e-01   1.52e-01   4.99e-01  1.162e-01  
  12   3.895595047e-01   6.964e-02   7.31e-02   4.75e-01  6.093e-02  
  13   2.303193767e-01   1.193e-01   1.59e-01   4.53e-01  2.726e-02  
  14   4.175769513e-01   2.331e-02   1.87e-01   4.34e-01  1.364e-01  
  15   2.230045046e-01   9.202e-02   1.95e-01   4.16e-01  5.500e-03  
  16   2.796229588e-01   3.030e-02   5.66e-02   3.99e-01  1.910e-01  
  17   2.178143755e-01   4.714e-02   6.18e-02   3.84e-01  2.285e-02  
  18   2.420933073e-01   2.776e-02   2.43e-02   3.69e-01  6.471e-03  
  19   2.404603532e-01   2.460e-02   1.63e-03   3.56e-01  5.333e-01  
  20   1.672127703e-01   2.404e-01   7.32e-02   3.44e-01  2.715e-03  
  21   2.761756934e-01   1.947e-02   1.09e-01   3.32e-01  4.338e-01  
  22   2.144180326e-01   2.906e-01   6.18e-02   3.22e-01  7.860e-03  
  23   3.215522231e-01   5.869e-02   1.07e-01   3.12e-01  8.577e-03  
  24   4.475762499e-01   3.293e-02   1.26e-01   3.02e-01  2.836e-02  
  25   2.848435581e-01   2.247e-01   1.63e-01   2.93e-01  6.498e-03  
  26   1.870181622e-01   3.142e-02   9.78e-02   2.85e-01  3.628e-01  
  27   3.307256032e-01   2.247e-01   1.44e-01   2.77e-01  2.873e-04  
  28   2.154051215e-01   5.749e-02   1.15e-01   2.70e-01  6.139e-03  
  29   2.065636775e-01   4.172e-02   8.84e-03   2.62e-01  6.157e-04  
  30   2.169944760e-01   1.619e-02   1.04e-02   2.56e-01  1.688e-04  
  31   3.108604175e-01   1.603e-02   9.39e-02   2.49e-01  1.212e-02  
  32   2.308081406e-01   4.487e-02   8.01e-02   2.43e-01  1.501e-02  
  33   2.230821358e-01   4.826e-02   7.73e-03   2.37e-01  1.859e-04  
  34   2.433551241e-01   1.430e-02   2.03e-02   2.32e-01  1.752e-03  
  35   2.252190255e-01   2.497e-02   1.81e-02   2.27e-01  2.460e-03  
  36   4.335299807e-01   1.809e-02   2.08e-01   2.22e-01  5.039e-03  
  37   1.917654788e-01   7.737e-02   2.42e-01   2.17e-01  5.034e-03  
  38   2.229857227e-01   4.071e-02   3.12e-02   2.12e-01  2.529e-03  
  39   4.152688324e-01   2.337e-02   1.92e-01   2.08e-01  1.216e-01  
  40   1.578152862e-01   2.800e-01   2.57e-01   2.04e-01  3.749e-04  
  41   2.385952238e-01   6.455e-02   8.08e-02   1.99e-01  1.247e-04  
  42   3.139675300e-01   1.269e-02   7.54e-02   1.96e-01  5.065e-02  
  43   2.178223887e-01   5.254e-02   9.61e-02   1.92e-01  5.927e-04  
  44   2.067297583e-01   1.462e-02   1.11e-02   1.88e-01  2.083e-01  
