 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020  
-------------------------------------- 
 Iter        f              ||g||     dif_f       alpha     s*y 
   0    2.396383325e+00   1.943e-01          
   1   2.025549275e+00   1.943e-01   1.55e-01   1.00e+00  6.680e-02  
   2   1.075798582e+00   2.072e-01   4.69e-01   1.00e+00  4.235e+00  
   3   6.004369153e-01   1.957e-01   4.42e-01   1.00e+00  1.119e+00  
   4   5.260754707e-01   3.567e-02   1.24e-01   1.00e+00  4.047e-02  
   5   4.193908664e-01   3.006e-02   2.03e-01   1.00e+00  8.567e-02  
   6   3.337420972e-01   2.775e-02   2.04e-01   1.00e+00  8.187e-02  
   7   2.930702785e-01   9.795e-03   1.22e-01   1.00e+00  9.388e-02  
   8   2.746741269e-01   2.568e-02   6.28e-02   1.00e+00  2.094e-02  
   9   2.624683543e-01   7.914e-03   4.44e-02   1.00e+00  3.366e-03  
  10   2.366995392e-01   7.338e-03   9.82e-02   1.00e+00  9.678e-02  
  11   2.240472025e-01   2.973e-02   5.35e-02   1.00e+00  3.011e-02  
  12   2.216201784e-01   6.282e-03   1.08e-02   1.00e+00  6.829e-03  
  13   2.198829182e-01   9.636e-03   7.84e-03   1.00e+00  9.573e-03  
  14   2.177415504e-01   7.795e-03   9.74e-03   1.00e+00  3.291e-03  
  15   2.158395015e-01   4.150e-03   8.74e-03   1.00e+00  3.881e-04  
  16   2.089748017e-01   3.381e-03   3.18e-02   1.00e+00  1.529e-02  
  17   2.084158093e-01   6.021e-03   2.67e-03   1.00e+00  3.662e-02  
  18   1.998150368e-01   2.346e-02   4.13e-02   1.00e+00  1.794e-02  
  19   1.970843694e-01   3.823e-03   1.37e-02   1.00e+00  2.217e-03  
  20   1.925348709e-01   3.657e-03   2.31e-02   1.00e+00  9.387e-03  
  21   1.901195796e-01   6.023e-03   1.25e-02   1.00e+00  6.875e-03  
  22   1.887064158e-01   5.184e-03   7.43e-03   1.00e+00  6.350e-03  
  23   1.872151089e-01   6.240e-03   7.90e-03   1.00e+00  2.293e-03  
  24   1.858920384e-01   3.839e-03   7.07e-03   1.00e+00  6.631e-04  
  25   1.848286337e-01   2.729e-03   5.72e-03   2.00e-01  3.721e-04  
  26   1.847565763e-01   2.865e-03   3.90e-04   1.00e+00  1.378e-02  
  27   1.822937280e-01   8.281e-03   1.33e-02   1.00e+00  1.327e-02  
  28   1.811744317e-01   6.087e-03   6.14e-03   1.00e+00  2.677e-03  
  29   1.803689629e-01   2.459e-03   4.45e-03   1.00e+00  7.612e-04  
  30   1.789537014e-01   2.209e-03   7.85e-03   1.00e+00  9.089e-04  
  31   1.781772545e-01   2.091e-03   4.34e-03   2.00e-01  5.247e-04  
  32   1.773234173e-01   2.552e-03   4.79e-03   1.00e+00  7.551e-03  
  33   1.753141772e-01   9.329e-03   1.13e-02   1.00e+00  5.858e-03  
  34   1.751785389e-01   6.721e-03   7.74e-04   1.00e+00  4.650e-03  
  35   1.737367096e-01   3.926e-03   8.23e-03   1.00e+00  2.080e-03  
  36   1.733621051e-01   3.167e-03   2.16e-03   1.00e+00  5.302e-03  
  37   1.714424102e-01   6.671e-03   1.11e-02   1.00e+00  7.891e-03  
  38   1.701845329e-01   5.229e-03   7.34e-03   1.00e+00  3.497e-03  
  39   1.695287492e-01   3.083e-03   3.85e-03   1.00e+00  4.818e-03  
  40   1.679499118e-01   6.755e-03   9.31e-03   1.00e+00  4.137e-03  
  41   1.674474301e-01   2.757e-03   2.99e-03   2.00e-01  2.398e-04  
  42   1.659414175e-01   2.013e-03   8.99e-03   1.00e+00  4.162e-03  
  43   1.645916073e-01   5.756e-03   8.13e-03   1.00e+00  3.758e-03  
  44   1.634668652e-01   2.603e-03   6.83e-03   1.00e+00  2.395e-03  
  45   1.627190914e-01   3.866e-03   4.57e-03   1.00e+00  3.478e-03  
  46   1.620227798e-01   3.445e-03   4.28e-03   1.00e+00  4.221e-03  
  47   1.611125978e-01   4.555e-03   5.62e-03   1.00e+00  1.708e-03  
  48   1.603852207e-01   1.449e-03   4.51e-03   1.00e+00  8.737e-04  
  49   1.600378716e-01   2.145e-03   2.17e-03   1.00e+00  1.650e-03  
  50   1.597366762e-01   3.869e-03   1.88e-03   2.00e-01  1.721e-04  
  51   1.595968396e-01   2.315e-03   8.75e-04   1.00e+00  1.634e-03  
  52   1.593063504e-01   3.535e-03   1.82e-03   1.00e+00  1.410e-03  
  53   1.591148796e-01   2.126e-03   1.20e-03   1.00e+00  2.878e-04  
  54   1.588186900e-01   1.083e-03   1.86e-03   1.00e+00  1.370e-04  
  55   1.582216851e-01   1.637e-03   3.76e-03   1.00e+00  9.705e-04  
  56   1.580611469e-01   2.483e-03   1.01e-03   2.00e-01  7.634e-05  
  57   1.579194116e-01   1.406e-03   8.97e-04   2.00e-01  7.902e-05  
  58   1.578725520e-01   1.392e-03   2.97e-04   1.00e+00  1.291e-03  
  59   1.575414052e-01   3.162e-03   2.10e-03   2.00e-01  1.863e-04  
  60   1.573772013e-01   2.159e-03   1.04e-03   2.00e-01  1.109e-04  
  61   1.571552541e-01   1.713e-03   1.41e-03   1.00e+00  1.404e-04  
  62   1.569733019e-01   1.186e-03   1.16e-03   2.00e-01  1.780e-04  
  63   1.568411030e-01   1.537e-03   8.42e-04   2.00e-01  1.374e-04  
  64   1.567485027e-01   1.130e-03   5.90e-04   1.00e+00  1.282e-03  
  65   1.563425803e-01   3.970e-03   2.59e-03   2.00e-01  2.096e-04  
  66   1.561116728e-01   2.305e-03   1.48e-03   2.00e-01  2.899e-04  
  67   1.559864525e-01   1.163e-03   8.02e-04   2.00e-01  1.108e-04  
  68   1.558887962e-01   9.182e-04   6.26e-04   2.00e-01  1.438e-04  
