 Name of the problem: kdd con lambda = 10/N
 Number of variables:   2014670  
 Number of observations:   510302  
-------------------------------------- 
 Iter            f          ||g||     dif_f       alpha      s*y      nnz 
   0    3.588975412e+01   3.654e-01                                 2014670 
   1   3.534822028e+01   3.654e-01   1.51e-02   1.00e+00  4.427e-02 2014630 
   2   3.309190573e+01   3.359e-01   6.38e-02   1.00e+00  3.629e+00 2013790 
   3   3.281588905e+01   1.002e-01   8.34e-03   1.00e+00  1.589e-01 2013425 
   4   3.258002561e+01   4.519e-02   7.19e-03   1.00e+00  2.389e-01 2012406 
   5   3.248136892e+01   7.819e-03   3.03e-03   1.00e+00  9.337e-02 2010869 
   6   3.235613919e+01   1.267e-02   3.86e-03   1.00e+00  4.362e-02 2008266 
   7   3.199157075e+01   5.391e-03   1.13e-02   1.00e+00  1.844e-01 1996468 
   8   3.110072079e+01   8.154e-03   2.78e-02   1.00e+00  5.049e-01 1958360 
   9   2.806913417e+01   1.691e-02   9.75e-02   1.00e+00  6.908e-01 1832375 
  10   1.426886539e+01   1.075e-02   4.92e-01   1.00e+00  2.573e+00 1075470 
  11   3.930988563e+00   8.306e-02   7.25e-01   1.00e+00  8.993e+00  21072 
  12   1.993278425e+00   6.320e-02   4.93e-01   1.00e+00  4.104e-01  23773 
  13   1.538366134e+00   4.285e-02   2.28e-01   4.00e-02  9.240e-02  24166 
  14   1.133176551e+00   2.677e-02   2.63e-01   2.00e-01  6.213e-01  24258 
  15   8.779577905e-01   2.172e-02   2.25e-01   1.00e+00  4.325e-01  24633 
  16   8.597033068e-01   2.308e-02   2.08e-02   1.00e+00  7.344e-01  21390 
  17   7.381021448e-01   6.060e-02   1.41e-01   1.00e+00  4.299e-01  23620 
  18   7.106060782e-01   1.790e-02   3.73e-02   1.00e+00  4.127e-02  23871 
  19   6.974037454e-01   4.718e-03   1.86e-02   1.00e+00  9.761e-02  23512 
  20   6.576167125e-01   9.406e-03   5.71e-02   1.00e+00  8.717e-02  22443 
  21   6.361104062e-01   7.931e-03   3.27e-02   1.00e+00  2.578e-02  22342 
  22   6.196754769e-01   5.116e-03   2.58e-02   1.00e+00  4.050e-02  22154 
  23   6.017247670e-01   1.345e-02   2.90e-02   1.00e+00  4.728e-02  21708 
  24   5.875839614e-01   1.041e-02   2.35e-02   1.00e+00  2.770e-02  21619 
  25   5.748011117e-01   7.446e-03   2.18e-02   1.00e+00  1.154e-02  21210 
  26   5.595240142e-01   2.040e-03   2.66e-02   1.00e+00  1.168e-02  20660 
  27   5.419928341e-01   5.711e-03   3.13e-02   1.00e+00  2.582e-02  19508 
  28   5.239865893e-01   1.037e-02   3.32e-02   1.00e+00  2.497e-02  18540 
  29   5.082139444e-01   8.099e-03   3.01e-02   1.00e+00  1.957e-02  17394 
  30   4.928547774e-01   8.061e-03   3.02e-02   1.00e+00  2.581e-02  16353 
