 Name of the problem: rcv1 con lambda = 10/N
 Number of variables:   47237  
 Number of observations:   677399  
-------------------------------------- 
Iter            f          ||g||      dif_f     alpha         s*y 
   0  2.1513622931e+00   3.14e-01                
   1  1.9439679799e+00   3.14e-01   9.64e-02   1.00e+00    1.531e-02  
   2  1.2738281741e+00   2.91e-01   3.44e-01   1.00e+00    1.175e+00  
   3  1.2683188648e+00   5.98e-03   4.33e-03   1.00e+00    6.016e-05  
   4  9.6184669196e-01   5.32e-03   2.42e-01   1.00e+00    2.751e-01  
   5  8.4913715283e-01   1.98e-02   1.17e-01   1.00e+00    6.277e-02  
   6  7.6580877886e-01   5.85e-03   9.81e-02   1.00e+00    5.227e-02  
   7  6.6934539471e-01   4.34e-03   1.26e-01   1.00e+00    4.169e-02  
   8  5.5584498647e-01   6.01e-04   1.70e-01   1.00e+00    5.662e-02  
   9  4.5951780970e-01   1.08e-02   1.73e-01   1.00e+00    9.228e-02  
  10  3.5689603710e-01   2.10e-02   2.23e-01   1.00e+00    1.866e-01  
  11  2.7694883863e-01   2.49e-02   2.24e-01   1.00e+00    1.598e-01  
  12  2.3851454737e-01   1.35e-02   1.39e-01   1.00e+00    3.016e-02  
  13  2.1330911801e-01   2.06e-03   1.06e-01   1.00e+00    2.175e-03  
  14  1.9487533137e-01   4.51e-03   8.64e-02   1.00e+00    8.920e-02  
  15  1.7385494923e-01   1.52e-02   1.08e-01   1.00e+00    6.132e-02  
  16  1.6776280217e-01   1.00e-02   3.50e-02   1.00e+00    4.066e-02  
  17  1.6482565126e-01   9.88e-03   1.75e-02   1.00e+00    4.580e-02  
  18  1.5776403506e-01   1.31e-02   4.28e-02   1.00e+00    1.862e-02  
  19  1.5657309175e-01   2.26e-03   7.55e-03   1.00e+00    1.250e-03  
  20  1.5500276048e-01   1.24e-03   1.00e-02   1.00e+00    4.757e-04  
  21  1.5058942737e-01   1.67e-04   2.85e-02   1.00e+00    6.336e-03  
  22  1.4990694214e-01   1.75e-03   4.53e-03   2.00e-01    1.912e-03  
  23  1.4872666490e-01   3.97e-03   7.87e-03   1.00e+00    2.998e-03  
  24  1.4801645952e-01   2.32e-03   4.78e-03   1.00e+00    2.605e-03  
  25  1.4712575971e-01   4.14e-03   6.02e-03   1.00e+00    9.759e-04  
  26  1.4622820982e-01   3.90e-04   6.10e-03   1.00e+00    2.651e-04  
  27  1.4447079742e-01   6.06e-05   1.20-02    1.00e+00    2.100e-03  
  28  1.4389135543e-01   2.15e-03   4.01e-03   1.00e+00    8.445e-04  
  29  1.4325371217e-01   1.35e-03   4.43e-03   1.00e+00    4.298e-04  
  30  1.4201714581e-01   7.96e-04   8.63e-03   1.00e+00    9.939e-04  
  31  1.4122986877e-01   2.12e-03   5.54e-03   1.00e+00    2.017e-03  
  32  1.4060933726e-01   2.71e-03   4.39e-03   1.00e+00    1.259e-03  
  33  1.4010764258e-01   1.71e-03   3.57e-03   1.00e+00    2.204e-04  
  34  1.3919333336e-01   2.37e-04   6.53e-03   1.00e+00    5.734e-04  
  35  1.3870790021e-01   1.01e-03   3.49e-03   1.00e+00    6.734e-04  
  36  1.3845676242e-01   1.76e-03   1.81e-03   1.00e+00    6.177e-04  
  37  1.3829873921e-01   1.14e-03   1.14e-03   1.00e+00    3.659e-04  
  38  1.3814670632e-01   1.17e-03   1.10e-03   1.00e+00    1.219e-04  
  39  1.3796517272e-01   3.72e-05   1.31e-03   1.00e+00    8.607e-05  
  40  1.3788637498e-01   2.55e-04   5.71e-04   1.00e+00    6.008e-04  
  41  1.3769425069e-01   2.27e-03   1.39e-03   1.00e+00    4.764e-04  
  42  1.3761581956e-01   4.22e-04   5.70e-04   1.00e+00    8.205e-05  
  43  1.3752529144e-01   4.92e-04   6.58e-04   1.00e+00    6.508e-05  
  44  1.3739556450e-01   3.40e-04   9.43e-04   1.00e+00    9.759e-05  
  45  1.3731328721e-01   6.40e-05   5.99e-04   1.00e+00    6.258e-05  
  46  1.3723616077e-01   5.98e-04   5.62e-04   1.00e+00    1.324e-04  
  47  1.3719745654e-01   6.05e-04   2.82e-04   1.00e+00    2.240e-04  
  48  1.3715047034e-01   1.15e-03   3.43e-04   1.00e+00    1.672e-04  
