 Name of the problem: real-sim con lambda = 10/N
 Number of variables:   47237  
 Number of observations:   677399  
-------------------------------------- 
 Iter        f              ||g||     dif_f       alpha     s*y 
   0    3.336568562e+00   1.942e-01          
   1   3.278854449e+00   1.942e-01   1.73e-02   1.00e+00  3.752e-03  
   2   3.107538799e+00   1.818e-01   5.22e-02   1.00e+00  1.191e+00  
   3   3.017030294e+00   1.591e-01   2.91e-02   1.00e+00  2.970e-01  
   4   3.005044588e+00   3.423e-02   3.97e-03   1.00e+00  8.312e-03  
   5   2.989602414e+00   3.719e-03   5.14e-03   1.00e+00  7.803e-03  
   6   2.932709041e+00   2.654e-02   1.90e-02   1.00e+00  1.654e-03  
   7   1.783258765e+00   2.384e-02   3.92e-01   1.00e+00  5.843e-01  
   8   8.816770192e-01   7.790e-03   5.06e-01   1.00e+00  1.097e-01  
   9   4.164171590e-01   1.764e-02   5.28e-01   1.00e+00  1.534e-01  
  10   3.748870929e-01   3.367e-02   9.97e-02   1.00e+00  4.475e-02  
  11   3.620130027e-01   4.909e-03   3.43e-02   1.00e+00  1.050e-02  
  12   3.468492628e-01   7.102e-03   4.19e-02   1.00e+00  1.126e-02  
  13   3.322684480e-01   6.808e-03   4.20e-02   1.00e+00  5.920e-03  
  14   3.189051372e-01   4.695e-03   4.02e-02   1.00e+00  8.382e-03  
  15   3.151485917e-01   1.669e-03   1.18e-02   1.00e+00  1.712e-03  
  16   3.143089841e-01   3.482e-04   2.66e-03   2.00e-01  4.745e-04  
  17   3.126557486e-01   3.797e-03   5.26e-03   1.00e+00  1.672e-03  
  18   3.119882964e-01   1.980e-04   2.13e-03   1.00e+00  6.259e-04  
  19   3.116235426e-01   1.419e-03   1.17e-03   1.00e+00  3.561e-04  
  20   3.113742078e-01   1.580e-03   8.00e-04   1.00e+00  2.241e-04  
  21   3.111881089e-01   3.701e-04   5.98e-04   1.00e+00  1.249e-04  
  22   3.109850958e-01   8.267e-04   6.52e-04   1.00e+00  1.097e-04  
  23   3.107645751e-01   2.474e-04   7.09e-04   1.00e+00  2.296e-04  
  24   3.106436262e-01   7.955e-04   3.89e-04   1.00e+00  1.384e-04  
  25   3.105730507e-01   9.770e-04   2.27e-04   1.00e+00  4.909e-05  
  26   3.105044238e-01   8.058e-05   2.21e-04   1.00e+00  4.298e-05  
  27   3.104537273e-01   1.086e-04   1.63e-04   1.00e+00  7.587e-05  
  28   3.104269238e-01   9.508e-04   8.63e-05   1.00e+00  2.607e-05  
  29   3.104119916e-01   7.190e-05   4.81e-05   1.00e+00  4.230e-06  
  30   3.103788188e-01   1.432e-04   1.07e-04   1.00e+00  3.827e-05  
  31   3.103704903e-01   3.587e-04   2.68e-05   1.00e+00  5.905e-06  
  32   3.103608048e-01   1.557e-05   3.12e-05   1.00e+00  4.461e-06  
  33   3.103570728e-01   5.783e-05   1.20e-05   2.00e-01  5.782e-06  
  34   3.103490668e-01   2.853e-04   2.58e-05   1.00e+00  1.016e-05  
  35   3.103462403e-01   1.548e-05   9.11e-06   1.00e+00  1.580e-06  
Elapsed time is 242.149020 seconds.
